"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1229","HM05_02: All Field are filled with valid Equipment Name","","Sun Jun 22 01:23:29 MYT 2025","passed","Sun Jun 22 01:23:30 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"","11276","HM05_11: Invalid Equipment Quantity with negative number","","Sun Jun 22 01:24:20 MYT 2025","failed","Sun Jun 22 01:24:31 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test adding vitals with invalid blood pressure","7409","HM08_28 - Invalid Blood Pressure","","Sun Jun 22 01:29:37 MYT 2025","failed","Sun Jun 22 01:29:45 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","2469","HM02_34: All fields filled with valid Patient Type","","Sun Jun 22 01:20:21 MYT 2025","passed","Sun Jun 22 01:20:24 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","1115","HM02_19: Invalid Age with empty string","","Sun Jun 22 01:18:25 MYT 2025","failed","Sun Jun 22 01:18:26 MYT 2025","","HM02:Admin Add Patient Tests","",""
"","4546","HM03_10: All fields are filled with invalid Last Name (spaces)","","Sun Jun 22 01:21:23 MYT 2025","failed","Sun Jun 22 01:21:28 MYT 2025","","HM03: Update Employee Tests","",""
"Test admin login with empty email field","727","HM01_08: should show error with missing email (blankspace)","","Sun Jun 22 01:14:55 MYT 2025","passed","Sun Jun 22 01:14:55 MYT 2025","","HM01: Admin Login Tests","",""
"","1169","HM05_13: Invalid Equipment Quantity with empty string","","Sun Jun 22 01:24:43 MYT 2025","failed","Sun Jun 22 01:24:44 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test adding lab test with valid lab test data","2029","HM07_13 - Valid Lab Test","","Sun Jun 22 01:27:07 MYT 2025","passed","Sun Jun 22 01:27:09 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","4935","HM03_23: All fields are filled with invalid File Type (txt)","","Sun Jun 22 01:22:24 MYT 2025","failed","Sun Jun 22 01:22:29 MYT 2025","","HM03: Update Employee Tests","",""
"Test admin login with invalid email format missing @","914","HM01_07: should show error with missing @ in email (adminmail.com)","","Sun Jun 22 01:14:54 MYT 2025","passed","Sun Jun 22 01:14:55 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding pharmaceutical category with valid description","4231","HM04_08: Valid Pharmaceutical Category Description","","Sun Jun 22 01:23:17 MYT 2025","passed","Sun Jun 22 01:23:21 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"Test adding vitals with invalid heart pulse","7139","HM08_20 - Invalid Heart Pulse","","Sun Jun 22 01:28:55 MYT 2025","failed","Sun Jun 22 01:29:02 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
